,to_location_0,to_location_1,to_location_2,to_location_3,to_location_4,to_location_5,to_location_6,to_location_7,to_location_8,to_location_9,to_location_10,to_location_11,to_location_12,to_location_13,to_location_14,to_location_15,to_location_16,to_location_17,to_location_18,to_location_19,to_location_20
from_location_0,0.0,6.18,4.6,4.33,6.36,3.85,5.89,6.39,4.03,4.51,6.71,5.51,6.08,5.93,4.86,3.63,5.76,4.81,3.39,5.98,6.15
from_location_1,6.18,0.0,4.28,5.26,2.58,5.07,10.07,2.4,4.15,4.74,3.45,8.98,4.77,9.92,6.17,5.02,4.95,8.83,6.08,2.6,4.93
from_location_2,4.6,4.28,0.0,2.98,4.16,2.91,8.34,4.29,3.35,2.47,5.47,8.02,3.58,7.86,3.92,3.01,3.39,7.41,3.95,4.46,3.7
from_location_3,4.33,5.26,2.98,0.0,5.12,2.57,7.72,5.26,3.96,2.53,6.43,7.84,3.86,7.03,2.99,2.86,3.48,7.0,3.23,5.43,3.9
from_location_4,6.36,2.58,4.16,5.12,0.0,5.03,10.24,2.22,4.37,4.59,3.99,9.34,4.32,9.96,5.95,5.03,4.57,9.08,6.07,3.18,4.48
from_location_5,3.85,5.07,2.91,2.57,5.03,0.0,7.45,5.14,3.48,2.67,6.11,7.35,4.23,6.95,3.48,2.29,3.9,6.61,3.05,5.14,4.3
from_location_6,5.89,10.07,8.34,7.72,10.24,7.45,0.0,10.28,7.92,8.1,10.47,4.96,9.57,3.88,7.66,7.33,9.18,3.66,6.49,9.84,9.6
from_location_7,6.39,2.4,4.29,5.26,2.22,5.14,10.28,0.0,4.38,4.73,3.77,9.3,4.53,10.05,6.12,5.12,4.77,9.09,6.17,3.0,4.7
from_location_8,4.03,4.15,3.35,3.96,4.37,3.48,7.92,4.38,0.0,3.66,4.81,7.03,4.87,7.86,4.94,3.25,4.74,6.71,4.22,3.97,5.01
from_location_9,4.51,4.74,2.47,2.53,4.59,2.67,8.1,4.73,3.66,0.0,5.95,8.0,3.56,7.51,3.45,2.89,3.26,7.28,3.64,4.94,3.64
from_location_10,6.71,3.45,5.47,6.43,3.99,6.11,10.47,3.77,4.81,5.95,0.0,8.88,6.21,10.62,7.39,5.97,6.37,9.04,7.0,3.02,6.37
from_location_11,5.51,8.98,8.02,7.84,9.34,7.35,4.96,9.3,7.03,8.0,8.88,0.0,9.55,6.52,8.27,7.11,9.26,3.52,6.79,8.57,9.64
from_location_12,6.08,4.77,3.58,3.86,4.32,4.23,9.57,4.53,4.87,3.56,6.21,9.55,0.0,8.79,4.18,4.45,2.43,8.83,5.09,5.23,2.17
from_location_13,5.93,9.92,7.86,7.03,9.96,6.95,3.88,10.05,7.86,7.51,10.62,6.52,8.79,0.0,6.67,6.93,8.37,5.01,5.91,9.83,8.77
from_location_14,4.86,6.17,3.92,2.99,5.95,3.48,7.66,6.12,4.94,3.45,7.39,8.27,4.18,6.67,0.0,3.75,3.75,7.23,3.49,6.38,4.13
from_location_15,3.63,5.02,3.01,2.86,5.03,2.29,7.33,5.12,3.25,2.89,5.97,7.11,4.45,6.93,3.75,0.0,4.15,6.42,3.06,5.04,4.53
from_location_16,5.76,4.95,3.39,3.48,4.57,3.9,9.18,4.77,4.74,3.26,6.37,9.26,2.43,8.37,3.75,4.15,0.0,8.48,4.7,5.36,2.42
from_location_17,4.81,8.83,7.41,7.0,9.08,6.61,3.66,9.09,6.71,7.28,9.04,3.52,8.83,5.01,7.23,6.42,8.48,0.0,5.83,8.52,8.89
from_location_18,3.39,6.08,3.95,3.23,6.07,3.05,6.49,6.17,4.22,3.64,7.0,6.79,5.09,5.91,3.49,3.06,4.7,5.83,0.0,6.09,5.12
from_location_19,5.98,2.6,4.46,5.43,3.18,5.14,9.84,3.0,3.97,4.94,3.02,8.57,5.23,9.83,6.38,5.04,5.36,8.52,6.09,0.0,5.39
from_location_20,6.15,4.93,3.7,3.9,4.48,4.3,9.6,4.7,5.01,3.64,6.37,9.64,2.17,8.77,4.13,4.53,2.42,8.89,5.12,5.39,0.0
